name,websiteUrl,twitterHandle,githubHandle,duneHandle,fundingWalletAddress,,,
GreenPill Brasil,https://nftstorage.link/ipfs/bafybeif6utkm5qwbyrosu2tq74svywvsahuzyj55jntcmv7xpsibh4k6mu/,greenpillbrasil,greenpillbrasil,,,,,
RemittDAO,https://remittdao.io/,RemittDAO,,,,,,
TalentDAO,https://talentdao.io/,talentdao_,Talent-DAO,,,,,
GreenPill Ottawa,,greenpillottawa,,,,,,
Rooted LABs,https://rootedlabs.org/,astrochainltd,,,,,,
Astrochain,https://astrochain.net/,,,,,,,
GloDollar,,,,,,,,
ReFi Saravena,https://linktr.ee/refisaravena,ReFiSaravena,ReFiSaravena,,,,,
ReFi Colombia,https://linktr.ee/reficolombia,RefiColombia,adminreficolombia,,,,,
Agroforest DAO,https://agroforestdao.web.app/,agroforestdao,,,,,,
Ayowecca Uganda,https://ayoweccauganda.org/,ayowecca_Uganda,AYOWECCA%20UGANDA,,,,,
ReFi Cartagena,https://linktr.ee/ReFiCartagena,RefiCartagena,,,,,,
Blocktrend,https://blocktrend.substack.com/,astro_hsu,Blocktrendtw,,,,,
Ethereum News Podcast,https://ethdaily.io/,ethdaily,ethdaily,,,,,
ReFi DAO,https://linktr.ee/refidao,ReFiDAOist,,,,,,
Pairwise,https://pairwise.vote/,Generalmagicio,GeneralMagicio,,,,,
Urbaniká,,,,,,,,
Impactify,https://impactify.world/,impactifyHQ,,,,,,
Donorship,https://donorship.io/,donorshipio,,,,,,
Brale,https://brale.xyz/,brale_xyz,,,,,,
LunCo,https://lunco.space/,LunCoSim,https://lunco.space/,,,,,
Niural,niural.com,niuralhq,,,,,,
GoodDollar,https://gooddollar.org/,gooddollarorg,GoodDollar,,,,,
MusicMoon,https://www.musicmoon.io/,MusicMoon111,MusicMoon1,,,,,
